timestamp,pair,mode,family,family_name,score,url,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_bb_period,param_bb_std_dev,param_bb_rsi_long,param_bb_rsi_short,param_rsi_period,train_score,validation_score
2026-03-14T10:06:27,AAPL,train,2,Bollinger Band Mean Reversion,-1000000000,https://www.quantconnect.com/project/28936477/8ff00c6d4bf6d5a261e8,-4.846,315.0,911.0,-1.252,36.0,10000.0,9515.37,281.0,165.0,,,,10,1.5,2.5,30,2,0.15,20,2.5,30,75,20,,
2026-03-14T10:06:48,AAPL,train,2,Bollinger Band Mean Reversion,-68.925,https://www.quantconnect.com/project/28936477/6506a49c53da71a5533b,-15.823,46.0,1040.0,-1.034,38.0,10000.0,8417.69,320.0,154.0,,,,20,3.0,1.5,96,2,0.5,30,2.5,25,70,20,,
2026-03-14T10:07:21,AAPL,train,2,Bollinger Band Mean Reversion,-42.471000000000004,https://www.quantconnect.com/project/28936477/efcb5c42af9b742aad04,-15.959,4.0,2355.0,-0.754,37.0,10000.0,8404.1,735.0,433.0,,,,10,1.5,2.0,48,6,0.35,25,2.5,30,65,14,,
2026-03-14T10:07:55,AAPL,train,2,Bollinger Band Mean Reversion,-38.552,https://www.quantconnect.com/project/28936477/bb5a5ffe411a2f719f3e,-15.607,5.0,1621.0,-2.815,47.0,10000.0,8439.27,540.0,287.0,,,,14,1.0,1.0,72,6,0.15,25,2.5,25,70,14,,
2026-03-14T10:08:22,AAPL,train,2,Bollinger Band Mean Reversion,-1000000000,https://www.quantconnect.com/project/28936477/f3cd1af2917a870a66a6,-27.044,249.0,2992.0,-1.485,30.0,10000.0,7295.58,935.0,632.0,,,,10,1.0,2.5,20,8,0.25,20,2.0,35,75,14,,
2026-03-14T10:09:05,AAPL,train,2,Bollinger Band Mean Reversion,-28.819,https://www.quantconnect.com/project/28936477/5f665bd0463a07e59d5a,-13.102,4.0,1304.0,-2.389,37.0,10000.0,8689.79,421.0,242.0,,,,20,2.0,1.5,96,6,0.15,15,2.5,25,70,14,,
2026-03-14T10:09:45,AAPL,train,2,Bollinger Band Mean Reversion,-1000000000,https://www.quantconnect.com/project/28936477/08695bd0500ed4a3e42c,-9.08,853.0,1087.0,-0.413,27.0,10000.0,9092.04,275.0,202.0,,,,14,1.0,3.0,48,6,0.5,25,2.5,30,70,20,,
2026-03-14T10:10:09,AAPL,train,2,Bollinger Band Mean Reversion,-127.774,https://www.quantconnect.com/project/28936477/dde32d38bba880103106,-22.793,56.0,3043.0,-2.027,29.0,10000.0,7720.69,998.0,692.0,,,,20,1.0,2.5,48,10,0.15,30,1.5,25,75,10,,
2026-03-14T10:10:31,AAPL,train,2,Bollinger Band Mean Reversion,-28.157,https://www.quantconnect.com/project/28936477/034571caafd3444521e0,-19.924,4.0,1038.0,-2.011,36.0,10000.0,8007.64,294.0,132.0,,,,20,3.0,3.0,30,2,0.35,25,2.5,25,70,20,,
2026-03-14T10:10:54,AAPL,train,2,Bollinger Band Mean Reversion,-109.04,https://www.quantconnect.com/project/28936477/3c8f0c4752da106d3c05,-33.53,27.0,4057.0,-1.52,33.0,10000.0,6646.95,1309.0,855.0,,,,10,1.0,2.0,30,2,0.25,20,1.5,35,70,20,,
