timestamp,pair,mode,family,family_name,score,url,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_ema_fast_period,param_ema_slow_period,param_adx_period,param_adx_min,param_bar_minutes,param_htf_minutes,param_htf_ema_period,param_vol_filter_enabled,param_use_force_flat,train_score,validation_score
2026-03-18T12:23:03,EURUSD,train,5,EMA Trend + ADX,-0.15100000000000008,https://www.quantconnect.com/project/28930245/fd0d6df0a85a07a5c0fa6b8b92dafc1d,0.407,7.3,388.0,-0.186,38.0,10000.0,10040.69,126.0,76.0,40.0,,10.0,20,1.5,2.0,20,12,0.5,8,80,10,18,5,240,20,1,0,,
2026-03-18T12:23:38,EURUSD,train,5,EMA Trend + ADX,-59.974,https://www.quantconnect.com/project/28930245/3eca2101f2fb1f24aea3b9ea26846509,-24.857,27.4,1626.0,-1.839,37.0,10000.0,7514.3,470.0,209.0,45.0,,216.0,20,3.0,2.0,20,3,0.35,20,40,10,20,5,240,20,0,0,,
2026-03-18T12:24:18,EURUSD,train,5,EMA Trend + ADX,-49.439,https://www.quantconnect.com/project/28930245/d143fca0659c6005a72157b2b168df09,-21.87,24.2,1427.0,-1.173,46.0,10000.0,7813.0,455.0,209.0,184.0,11.0,51.0,14,3.0,1.0,30,5,0.5,25,60,10,15,5,240,20,0,1,,
2026-03-18T12:24:52,EURUSD,train,5,EMA Trend + ADX,-14.856,https://www.quantconnect.com/project/28930245/5776e66d237e49acec85f63a5cfa94ad,-10.503,14.5,701.0,-1.451,36.0,10000.0,8949.73,231.0,147.0,76.0,,8.0,20,2.0,1.5,48,3,0.25,8,40,14,18,15,60,30,0,0,,
2026-03-18T12:25:33,EURUSD,train,5,EMA Trend + ADX,-8.405,https://www.quantconnect.com/project/28930245/5d094a20de322259531c329a360f0989,3.625,1.7,66.0,-0.06,57.0,10000.0,10362.53,21.0,8.0,10.0,3.0,,10,1.5,1.5,96,5,0.5,25,40,20,25,15,60,30,0,1,,
2026-03-18T12:26:13,EURUSD,train,5,EMA Trend + ADX,-15.341999999999999,https://www.quantconnect.com/project/28930245/46c1e945dd1c410316e8ff07cd9f28e9,-4.806,5.3,212.0,-2.012,39.0,10000.0,9519.44,70.0,43.0,25.0,1.0,1.0,14,2.5,1.0,48,5,0.25,8,30,20,20,5,240,20,0,1,,
2026-03-18T12:26:52,EURUSD,train,5,EMA Trend + ADX,-26.212999999999994,https://www.quantconnect.com/project/28930245/42ff62118ccf1c1caabd437c25868625,-12.693,18.2,1033.0,-1.44,36.0,10000.0,8730.72,338.0,207.0,112.0,,19.0,10,2.5,1.5,60,3,0.25,15,30,14,18,5,240,30,0,0,,
2026-03-18T12:27:19,EURUSD,train,5,EMA Trend + ADX,-4.235,https://www.quantconnect.com/project/28930245/f68aed9581ad82a690bb0a2e3b1b0968,-1.859,5.5,354.0,-0.792,39.0,10000.0,9814.06,116.0,67.0,43.0,,6.0,10,1.5,1.5,20,5,0.25,8,60,14,18,15,240,20,0,0,,
2026-03-18T12:27:55,EURUSD,train,5,EMA Trend + ADX,-29.459000000000003,https://www.quantconnect.com/project/28930245/9faffac53cab6b072c126cd2ffdeff3a,-16.252,17.6,921.0,-2.169,41.0,10000.0,8374.83,306.0,180.0,123.0,,3.0,10,2.0,1.0,60,5,0.25,15,30,10,25,5,60,20,0,0,,
2026-03-18T12:28:24,EURUSD,train,5,EMA Trend + ADX,-21.412999999999997,https://www.quantconnect.com/project/28930245/48bc01c7481313c9ed32da3032dcab41,-14.165,15.6,384.0,-2.116,36.0,10000.0,8583.45,128.0,82.0,46.0,,,14,2.5,1.0,96,5,0.35,10,60,20,18,5,240,30,0,0,,
2026-03-18T12:28:57,EURUSD,train,5,EMA Trend + ADX,-11.217,https://www.quantconnect.com/project/28930245/5bf58920cbc11c05530117c89532c2cd,-6.726,6.7,307.0,-1.397,38.0,10000.0,9327.4,98.0,55.0,30.0,5.0,8.0,10,3.0,1.25,48,5,0.35,15,60,20,18,5,60,30,1,1,,
2026-03-18T12:29:18,EURUSD,train,5,EMA Trend + ADX,-9.571,https://www.quantconnect.com/project/28930245/8b659f413b605acef06faca0cffb6c47,1.538,1.3,109.0,-0.453,49.0,10000.0,10153.78,35.0,17.0,14.0,,4.0,10,2.5,1.5,60,12,0.35,25,30,20,18,15,240,20,1,0,,
2026-03-18T12:29:41,EURUSD,train,5,EMA Trend + ADX,-16.141,https://www.quantconnect.com/project/28930245/fed3e0dc58019ac563c9a29834ac8cbb,1.211,0.3,59.0,-1.634,65.0,10000.0,10121.12,17.0,5.0,4.0,,8.0,20,3.0,2.0,48,5,0.15,10,60,20,20,15,240,50,1,0,,
2026-03-18T12:30:12,EURUSD,train,5,EMA Trend + ADX,-26.683999999999997,https://www.quantconnect.com/project/28930245/8ebbe26402fd3604ed62ab9e0b629c7a,-15.331,19.2,858.0,-1.101,31.0,10000.0,8466.93,285.0,197.0,85.0,,3.0,14,1.5,2.0,48,8,0.35,15,60,10,20,5,60,30,0,0,,
2026-03-18T12:30:38,EURUSD,train,5,EMA Trend + ADX,-10.303999999999998,https://www.quantconnect.com/project/28930245/18dea4dc65a13a5bc7394aa8d3e0ff0a,-7.802,12.9,507.0,-0.834,43.0,10000.0,9219.76,155.0,75.0,38.0,27.0,15.0,20,2.5,1.5,20,3,0.5,20,50,10,15,15,60,20,1,1,,
2026-03-18T12:23:03,EURUSD,train,5,EMA Trend + ADX,-0.15100000000000008,https://www.quantconnect.com/project/28930245/fd0d6df0a85a07a5c0fa6b8b92dafc1d,0.407,7.3,388.0,-0.186,38.0,10000.0,10040.69,126.0,76.0,40.0,,10.0,20,1.5,2.0,20,12,0.5,8,80,10,18,5,240,20,1,0,,
2026-03-18T12:27:19,EURUSD,train,5,EMA Trend + ADX,-4.235,https://www.quantconnect.com/project/28930245/f68aed9581ad82a690bb0a2e3b1b0968,-1.859,5.5,354.0,-0.792,39.0,10000.0,9814.06,116.0,67.0,43.0,,6.0,10,1.5,1.5,20,5,0.25,8,60,14,18,15,240,20,0,0,,
2026-03-18T12:25:33,EURUSD,train,5,EMA Trend + ADX,-8.405,https://www.quantconnect.com/project/28930245/5d094a20de322259531c329a360f0989,3.625,1.7,66.0,-0.06,57.0,10000.0,10362.53,21.0,8.0,10.0,3.0,,10,1.5,1.5,96,5,0.5,25,40,20,25,15,60,30,0,1,,
2026-03-18T12:29:18,EURUSD,train,5,EMA Trend + ADX,-9.571,https://www.quantconnect.com/project/28930245/8b659f413b605acef06faca0cffb6c47,1.538,1.3,109.0,-0.453,49.0,10000.0,10153.78,35.0,17.0,14.0,,4.0,10,2.5,1.5,60,12,0.35,25,30,20,18,15,240,20,1,0,,
2026-03-18T12:30:38,EURUSD,train,5,EMA Trend + ADX,-10.303999999999998,https://www.quantconnect.com/project/28930245/18dea4dc65a13a5bc7394aa8d3e0ff0a,-7.802,12.9,507.0,-0.834,43.0,10000.0,9219.76,155.0,75.0,38.0,27.0,15.0,20,2.5,1.5,20,3,0.5,20,50,10,15,15,60,20,1,1,,
2026-03-18T12:31:03,EURUSD,train,5,EMA Trend + ADX,-10.82,https://www.quantconnect.com/project/28930245/eaa7889d4598b1471fc8aa4bc9a78568,2.401,1.1,59.0,-0.357,63.0,10000.0,10240.14,19.0,6.0,11.0,2.0,,10,1.5,1.0,96,5,0.5,25,40,20,25,15,60,20,1,1,,
2026-03-18T12:31:43,EURUSD,train,5,EMA Trend + ADX,-17.244,https://www.quantconnect.com/project/28930245/fee1f6ff61c2d823c5c04e441c43dcb6,-12.564,12.7,292.0,-1.26,30.0,10000.0,8743.57,94.0,65.0,19.0,,10.0,10,1.5,2.0,20,5,0.5,25,80,20,18,5,60,20,1,1,,
2026-03-18T12:32:21,EURUSD,train,5,EMA Trend + ADX,-6.167,https://www.quantconnect.com/project/28930245/71a22945a6b44cb23491c5c7deaa45f2,-1.082,3.2,250.0,-0.845,40.0,10000.0,9891.78,83.0,50.0,32.0,,1.0,20,1.5,1.5,20,12,0.25,20,80,10,18,15,240,20,1,0,,
2026-03-18T12:32:52,EURUSD,train,5,EMA Trend + ADX,-53.85300000000001,https://www.quantconnect.com/project/28930245/11a374914b1e923ccf14546dfacc2cd7,-23.85,28.6,1136.0,-1.201,37.0,10000.0,7614.96,370.0,225.0,119.0,26.0,,10,1.5,1.5,96,5,0.5,20,40,10,15,15,60,30,0,1,,
2026-03-18T12:33:14,EURUSD,train,5,EMA Trend + ADX,-3.6559999999999997,https://www.quantconnect.com/project/28930245/467e35a382e74fa458824d3a139e5cab,-1.847,4.9,353.0,-0.603,42.0,10000.0,9815.3,115.0,66.0,41.0,8.0,,10,1.5,1.5,96,5,0.35,25,40,20,18,15,60,30,0,1,,
2026-03-18T12:33:37,EURUSD,train,5,EMA Trend + ADX,-4.2059999999999995,https://www.quantconnect.com/project/28930245/6b826b9f525632f2c28a21c4ed39e2cc,-1.659,4.0,388.0,-0.849,43.0,10000.0,9834.08,120.0,58.0,34.0,,28.0,10,2.5,1.5,20,5,0.25,8,60,14,18,15,240,20,0,0,,
2026-03-18T12:34:01,EURUSD,train,5,EMA Trend + ADX,-13.261,https://www.quantconnect.com/project/28930245/2d3f04959deb9a0a92a40eeeb9acd858,1.865,1.5,24.0,-0.442,50.0,10000.0,10186.46,8.0,4.0,4.0,,,10,1.5,2.0,96,12,0.5,25,40,20,25,15,240,20,1,1,,
2026-03-18T12:34:34,EURUSD,train,5,EMA Trend + ADX,-10.632,https://www.quantconnect.com/project/28930245/f37af86179d53c09a03cc24c99a1ca0c,-7.515,9.3,302.0,-0.939,37.0,10000.0,9248.51,98.0,60.0,30.0,8.0,,10,1.5,1.5,60,12,0.5,25,30,20,18,15,60,30,0,1,,
2026-03-18T12:35:13,EURUSD,train,5,EMA Trend + ADX,-14.818000000000001,https://www.quantconnect.com/project/28930245/a193de4f43e284a325f9aa2f654b088c,-5.17,5.6,1226.0,-1.616,42.0,10000.0,9483.04,346.0,132.0,26.0,,188.0,10,3.0,2.0,20,8,0.15,8,30,14,18,5,60,20,0,0,,
2026-03-18T12:35:38,EURUSD,train,5,EMA Trend + ADX,-13.324,https://www.quantconnect.com/project/28930245/ae4477cd88e7fe3ed3bc1add5a9de23b,-0.73,2.2,105.0,-0.898,38.0,10000.0,9927.04,34.0,19.0,12.0,,3.0,14,1.5,1.5,20,8,0.35,25,80,20,20,30,60,20,0,0,,
2026-03-18T12:23:03,EURUSD,train,5,EMA Trend + ADX,-0.15100000000000008,https://www.quantconnect.com/project/28930245/fd0d6df0a85a07a5c0fa6b8b92dafc1d,0.407,7.3,388.0,-0.186,38.0,10000.0,10040.69,126.0,76.0,40.0,,10.0,20,1.5,2.0,20,12,0.5,8,80,10,18,5,240,20,1,0,,
2026-03-18T12:33:14,EURUSD,train,5,EMA Trend + ADX,-3.6559999999999997,https://www.quantconnect.com/project/28930245/467e35a382e74fa458824d3a139e5cab,-1.847,4.9,353.0,-0.603,42.0,10000.0,9815.3,115.0,66.0,41.0,8.0,,10,1.5,1.5,96,5,0.35,25,40,20,18,15,60,30,0,1,,
2026-03-18T12:33:37,EURUSD,train,5,EMA Trend + ADX,-4.2059999999999995,https://www.quantconnect.com/project/28930245/6b826b9f525632f2c28a21c4ed39e2cc,-1.659,4.0,388.0,-0.849,43.0,10000.0,9834.08,120.0,58.0,34.0,,28.0,10,2.5,1.5,20,5,0.25,8,60,14,18,15,240,20,0,0,,
2026-03-18T12:27:19,EURUSD,train,5,EMA Trend + ADX,-4.235,https://www.quantconnect.com/project/28930245/f68aed9581ad82a690bb0a2e3b1b0968,-1.859,5.5,354.0,-0.792,39.0,10000.0,9814.06,116.0,67.0,43.0,,6.0,10,1.5,1.5,20,5,0.25,8,60,14,18,15,240,20,0,0,,
2026-03-18T12:32:21,EURUSD,train,5,EMA Trend + ADX,-6.167,https://www.quantconnect.com/project/28930245/71a22945a6b44cb23491c5c7deaa45f2,-1.082,3.2,250.0,-0.845,40.0,10000.0,9891.78,83.0,50.0,32.0,,1.0,20,1.5,1.5,20,12,0.25,20,80,10,18,15,240,20,1,0,,
2026-03-18T12:36:07,EURUSD,train,5,EMA Trend + ADX,-2.8920000000000003,https://www.quantconnect.com/project/28930245/97379ab4024f6dcbeaeb868d9a81f8b8,-0.858,4.1,348.0,-0.678,41.0,10000.0,9914.16,115.0,68.0,44.0,,3.0,20,1.5,1.5,20,12,0.25,20,60,14,18,15,240,20,0,0,,
2026-03-18T12:36:39,EURUSD,train,5,EMA Trend + ADX,-1.2319999999999998,https://www.quantconnect.com/project/28930245/84dd9eaf4449fb1d7babca99f9d54abd,0.277,3.2,379.0,-0.503,41.0,10000.0,10027.72,115.0,59.0,22.0,,34.0,10,2.5,2.0,20,12,0.25,8,80,14,18,15,240,20,0,0,,
2026-03-18T12:37:09,EURUSD,train,5,EMA Trend + ADX,-3.7720000000000002,https://www.quantconnect.com/project/28930245/09c9ff734cd1d533ecc1be46e05e8d53,-1.42,4.6,329.0,-0.784,39.0,10000.0,9858.0,108.0,63.0,40.0,,5.0,20,1.5,1.5,20,12,0.25,8,60,14,18,15,240,20,0,0,,
2026-03-18T12:37:48,EURUSD,train,5,EMA Trend + ADX,-14.052000000000001,https://www.quantconnect.com/project/28930245/a4138d3d3a21a67d55d132a4ebe13438,-9.252,12.4,519.0,-1.6,35.0,10000.0,9074.77,169.0,107.0,50.0,,12.0,10,1.5,1.5,20,12,0.25,8,80,14,18,5,240,20,0,0,,
2026-03-18T12:38:22,EURUSD,train,5,EMA Trend + ADX,-2.581,https://www.quantconnect.com/project/28930245/8ed4ea79a3b4e2c2885476a84c05edd4,0.479,4.5,277.0,-0.37,40.0,10000.0,10047.86,87.0,48.0,23.0,11.0,5.0,10,1.5,2.0,20,5,0.35,25,80,20,18,15,60,30,1,1,,
2026-03-18T12:38:46,EURUSD,train,5,EMA Trend + ADX,0.8079999999999999,https://www.quantconnect.com/project/28930245/1e02f7243b4870c78faa5fdc22549b8d,2.008,6.0,292.0,-0.2,46.0,10000.0,10200.85,96.0,51.0,41.0,4.0,,20,1.5,1.5,20,5,0.35,20,50,10,18,15,240,30,1,1,,
2026-03-18T12:39:22,EURUSD,train,5,EMA Trend + ADX,5.866999999999999,https://www.quantconnect.com/project/28930245/3b5c9a3e822e16ba35dc4ceb1623380a,7.514,5.2,255.0,0.251,42.0,10000.0,10751.36,84.0,49.0,32.0,,3.0,14,1.5,2.0,20,12,0.5,8,80,10,18,15,240,20,1,0,,
2026-03-18T12:39:49,EURUSD,train,5,EMA Trend + ADX,-8.713,https://www.quantconnect.com/project/28930245/4ee8543a2d5389d88d798004e97b1cfa,-4.951,7.8,385.0,-1.254,36.0,10000.0,9504.91,127.0,80.0,43.0,,4.0,20,1.5,1.5,20,5,0.25,20,80,14,18,15,240,20,0,0,,
2026-03-18T12:40:13,EURUSD,train,5,EMA Trend + ADX,-5.2379999999999995,https://www.quantconnect.com/project/28930245/e4a4ff91e0cdb5771554ba5a083b6cd4,-0.789,3.4,308.0,-1.333,42.0,10000.0,9921.06,97.0,50.0,30.0,17.0,,10,1.5,1.5,30,8,0.15,20,80,14,15,30,60,20,1,1,,
2026-03-18T12:40:47,EURUSD,train,5,EMA Trend + ADX,-34.854,https://www.quantconnect.com/project/28930245/bccbeada74671d1fa542ef0d8ea96761,-18.309,23.8,799.0,-1.115,36.0,10000.0,8169.08,247.0,148.0,41.0,31.0,27.0,10,2.0,2.0,20,3,0.5,10,60,10,25,15,60,30,0,1,,
2026-03-18T12:39:22,EURUSD,train,5,EMA Trend + ADX,5.866999999999999,https://www.quantconnect.com/project/28930245/3b5c9a3e822e16ba35dc4ceb1623380a,7.514,5.2,255.0,0.251,42.0,10000.0,10751.36,84.0,49.0,32.0,,3.0,14,1.5,2.0,20,12,0.5,8,80,10,18,15,240,20,1,0,,
2026-03-18T12:38:46,EURUSD,train,5,EMA Trend + ADX,0.8079999999999999,https://www.quantconnect.com/project/28930245/1e02f7243b4870c78faa5fdc22549b8d,2.008,6.0,292.0,-0.2,46.0,10000.0,10200.85,96.0,51.0,41.0,4.0,,20,1.5,1.5,20,5,0.35,20,50,10,18,15,240,30,1,1,,
2026-03-18T12:23:03,EURUSD,train,5,EMA Trend + ADX,-0.15100000000000008,https://www.quantconnect.com/project/28930245/fd0d6df0a85a07a5c0fa6b8b92dafc1d,0.407,7.3,388.0,-0.186,38.0,10000.0,10040.69,126.0,76.0,40.0,,10.0,20,1.5,2.0,20,12,0.5,8,80,10,18,5,240,20,1,0,,
2026-03-18T12:36:39,EURUSD,train,5,EMA Trend + ADX,-1.2319999999999998,https://www.quantconnect.com/project/28930245/84dd9eaf4449fb1d7babca99f9d54abd,0.277,3.2,379.0,-0.503,41.0,10000.0,10027.72,115.0,59.0,22.0,,34.0,10,2.5,2.0,20,12,0.25,8,80,14,18,15,240,20,0,0,,
2026-03-18T12:38:22,EURUSD,train,5,EMA Trend + ADX,-2.581,https://www.quantconnect.com/project/28930245/8ed4ea79a3b4e2c2885476a84c05edd4,0.479,4.5,277.0,-0.37,40.0,10000.0,10047.86,87.0,48.0,23.0,11.0,5.0,10,1.5,2.0,20,5,0.35,25,80,20,18,15,60,30,1,1,,
2026-03-18T12:41:14,EURUSD,train,5,EMA Trend + ADX,-7.4639999999999995,https://www.quantconnect.com/project/28930245/5a5049adb6371088a5b80ff9b603f1ec,0.9,1.3,183.0,-0.588,43.0,10000.0,10089.98,56.0,29.0,12.0,,15.0,14,2.5,2.0,20,12,0.25,8,80,14,18,15,240,20,1,0,,
2026-03-18T12:41:38,EURUSD,train,5,EMA Trend + ADX,-5.352,https://www.quantconnect.com/project/28930245/abdca6817372fb011b089d65dda1b3ef,-2.997,5.9,602.0,-0.785,40.0,10000.0,9700.25,182.0,96.0,30.0,,56.0,10,2.5,2.0,20,12,0.25,8,80,10,18,15,240,20,0,0,,
2026-03-18T12:42:09,EURUSD,train,5,EMA Trend + ADX,-0.935,https://www.quantconnect.com/project/28930245/8704af5a46e21944e20cde8cc51be0fa,0.439,5.1,353.0,-0.458,45.0,10000.0,10043.86,115.0,61.0,46.0,6.0,2.0,10,1.5,1.5,20,5,0.25,8,80,14,18,15,240,20,0,1,,
2026-03-18T12:42:41,EURUSD,train,5,EMA Trend + ADX,0.057000000000000384,https://www.quantconnect.com/project/28930245/53bc45a80263ba62151844d3c58ad302,3.624,2.1,236.0,-0.039,48.0,10000.0,10362.42,77.0,39.0,33.0,4.0,1.0,10,1.5,1.5,20,5,0.35,20,80,10,18,15,240,30,1,1,,
2026-03-18T12:43:17,EURUSD,train,5,EMA Trend + ADX,-0.7170000000000001,https://www.quantconnect.com/project/28930245/9f5b34d4ec7aec20ad40777c693e5c50,3.3,3.8,227.0,-0.039,38.0,10000.0,10330.0,74.0,44.0,25.0,,5.0,20,1.5,2.0,20,5,0.5,20,80,10,18,15,240,30,1,0,,
2026-03-18T12:43:43,EURUSD,train,5,EMA Trend + ADX,0.6000000000000001,https://www.quantconnect.com/project/28930245/c875cf824241a4a86836a711c1d810d7,1.191,7.7,500.0,-0.197,39.0,10000.0,10119.1,161.0,95.0,49.0,12.0,5.0,20,1.5,2.0,20,5,0.35,25,50,10,18,15,240,30,0,1,,
2026-03-18T12:44:14,EURUSD,train,5,EMA Trend + ADX,-7.864999999999999,https://www.quantconnect.com/project/28930245/1863379e64055abac6fa6c1da9a9357d,3.397,1.5,85.0,-0.104,52.0,10000.0,10339.75,27.0,13.0,10.0,2.0,2.0,10,1.5,2.0,20,12,0.35,8,80,20,18,15,240,20,1,1,,
2026-03-18T12:44:47,EURUSD,train,5,EMA Trend + ADX,-8.341,https://www.quantconnect.com/project/28930245/edc258fb045827778265bb0e23469654,-0.88,3.6,202.0,-0.787,35.0,10000.0,9911.96,66.0,42.0,20.0,4.0,,20,1.5,2.0,20,5,0.25,8,50,14,18,15,240,20,1,1,,
2026-03-18T12:45:09,EURUSD,train,5,EMA Trend + ADX,-8.654,https://www.quantconnect.com/project/28930245/0a5b06cfeaa3450fc03d353657d94549,3.514,0.6,71.0,-0.106,57.0,10000.0,10351.44,21.0,6.0,7.0,8.0,,10,2.0,2.0,30,5,0.35,20,80,20,25,15,60,50,1,1,,
2026-03-18T12:45:34,EURUSD,train,5,EMA Trend + ADX,-18.381,https://www.quantconnect.com/project/28930245/c4511a6f4d2ac61cd90fdded2ec78b65,-11.591,12.8,1010.0,-1.13,43.0,10000.0,8840.89,318.0,161.0,101.0,,56.0,10,3.0,1.25,48,5,0.35,25,30,10,18,15,60,50,0,0,,
2026-03-18T12:39:22,EURUSD,train,5,EMA Trend + ADX,5.866999999999999,https://www.quantconnect.com/project/28930245/3b5c9a3e822e16ba35dc4ceb1623380a,7.514,5.2,255.0,0.251,42.0,10000.0,10751.36,84.0,49.0,32.0,,3.0,14,1.5,2.0,20,12,0.5,8,80,10,18,15,240,20,1,0,,
2026-03-18T12:38:46,EURUSD,train,5,EMA Trend + ADX,0.8079999999999999,https://www.quantconnect.com/project/28930245/1e02f7243b4870c78faa5fdc22549b8d,2.008,6.0,292.0,-0.2,46.0,10000.0,10200.85,96.0,51.0,41.0,4.0,,20,1.5,1.5,20,5,0.35,20,50,10,18,15,240,30,1,1,,
2026-03-18T12:43:43,EURUSD,train,5,EMA Trend + ADX,0.6000000000000001,https://www.quantconnect.com/project/28930245/c875cf824241a4a86836a711c1d810d7,1.191,7.7,500.0,-0.197,39.0,10000.0,10119.1,161.0,95.0,49.0,12.0,5.0,20,1.5,2.0,20,5,0.35,25,50,10,18,15,240,30,0,1,,
2026-03-18T12:42:41,EURUSD,train,5,EMA Trend + ADX,0.057000000000000384,https://www.quantconnect.com/project/28930245/53bc45a80263ba62151844d3c58ad302,3.624,2.1,236.0,-0.039,48.0,10000.0,10362.42,77.0,39.0,33.0,4.0,1.0,10,1.5,1.5,20,5,0.35,20,80,10,18,15,240,30,1,1,,
