timestamp,pair,mode,family,family_name,score,url,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_crsi_period,param_crsi_entry,param_crsi_entry_short,param_trend_ema_period,param_exit_sma_period,train_score,validation_score
2026-03-15T14:26:59,QQQ,train,3,Connors RSI (2-Period),13.056000000000001,https://www.quantconnect.com/project/28936477/2fdf5153febcd477fca076bf8790ee8d,11.31,2.6,99.0,0.582,42.0,10000.0,11131.04,33.0,19.0,14.0,,,14,1.5,3.0,72,10,0.5,5,15,80,100,3,,
2026-03-15T14:27:01,QQQ,train,3,Connors RSI (2-Period),2.8470000000000004,https://www.quantconnect.com/project/28936477/c1c5efef24bc13a4c7b1421ee7709b82,3.273,1.7,89.0,-0.142,62.0,10000.0,10327.27,24.0,6.0,1.0,,17.0,14,3.0,2.0,20,6,0.5,5,10,85,200,8,,
2026-03-15T14:28:44,QQQ,train,3,Connors RSI (2-Period),-1000000000,,,,,,,,,,,,,,10,1.5,2.0,96,6,0.25,2,10,80,100,3,,
2026-03-15T14:28:44,QQQ,train,3,Connors RSI (2-Period),-1000000000,,,,,,,,,,,,,,20,3.0,3.0,48,10,0.5,5,10,85,200,5,,
2026-03-15T14:30:57,QQQ,train,3,Connors RSI (2-Period),-4.199,https://www.quantconnect.com/project/28936477/be86a4c4a9079ac3f2c6a8762f045d65,-2.591,6.8,327.0,-0.536,35.0,10000.0,9740.9,109.0,70.0,38.0,,,20,1.5,2.0,72,8,0.35,3,15,85,200,3,,
2026-03-15T14:30:29,QQQ,train,3,Connors RSI (2-Period),-1000000000,,,,,,,,,,,,,,14,1.5,2.0,30,8,0.25,5,5,95,200,3,,
2026-03-15T14:32:14,QQQ,train,3,Connors RSI (2-Period),-1000000000,,,,,,,,,,,,,,10,3.0,2.0,96,6,0.5,2,5,90,150,3,,
2026-03-15T14:31:20,QQQ,train,3,Connors RSI (2-Period),2.4589999999999996,https://www.quantconnect.com/project/28936477/989f949b4cd3e08be2b48fd1f983a750,3.239,0.4,28.0,-0.26,100.0,10000.0,10323.92,7.0,,,,7.0,20,2.5,2.5,20,6,0.5,5,10,95,150,5,,
2026-03-15T14:31:41,QQQ,train,3,Connors RSI (2-Period),-0.61,https://www.quantconnect.com/project/28936477/d987df59ab72e9843c2be57b6edd938a,0.107,6.5,343.0,-0.239,44.0,10000.0,10010.72,112.0,61.0,43.0,,7.0,10,1.5,1.5,20,6,0.5,3,15,85,150,3,,
2026-03-15T14:33:27,QQQ,train,3,Connors RSI (2-Period),-1000000000,,,,,,,,,,,,,,20,2.5,2.0,96,2,0.25,2,15,85,100,5,,
