timestamp,pair,mode,family,family_name,score,url,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_rsi_period,param_rsi_oversold,param_rsi_overbought,param_trend_ema_period,train_score,validation_score
2026-03-14T23:00:53,SOLUSDT,train,1,RSI Mean Reversion,-175.8,https://www.quantconnect.com/project/28937164/4e03a9c450f5c0ef86d8e945ddc34ad2,0.0,0.0,3766.0,0.0,0.0,10000.0,10000.0,0.0,,,,,20,1.0,1.5,72,4,0.35,10,40,65,200,,
2026-03-14T23:00:38,SOLUSDT,train,1,RSI Mean Reversion,-0.75,https://www.quantconnect.com/project/28937164/77c1574995363a51ef6de7d8155b6e88,0.0,0.0,265.0,0.0,0.0,10000.0,10000.0,0.0,,,,,14,1.5,3.0,96,1,0.25,20,40,60,150,,
2026-03-14T23:02:24,SOLUSDT,train,1,RSI Mean Reversion,-1000000000,,,,,,,,,,,,,,14,2.5,2.5,20,1,0.5,20,30,65,100,,
2026-03-14T23:01:17,SOLUSDT,train,1,RSI Mean Reversion,-69.55,https://www.quantconnect.com/project/28937164/12d3efb5bd60cf00f5a2dc4d6308532c,0.0,0.0,1641.0,0.0,0.0,10000.0,10000.0,0.0,,,,,20,3.0,3.0,72,4,0.35,10,35,75,200,,
2026-03-14T23:01:56,SOLUSDT,train,1,RSI Mean Reversion,-95.30000000000001,https://www.quantconnect.com/project/28937164/0d11fc6dc7a4e5042d93f0e87d0dfaad,0.0,0.0,2156.0,0.0,0.0,10000.0,10000.0,0.0,,,,,10,2.5,1.0,20,4,0.5,14,40,60,200,,
2026-03-14T23:03:42,SOLUSDT,train,1,RSI Mean Reversion,-1000000000,,,,,,,,,,,,,,14,1.5,2.5,20,1,0.25,20,30,65,100,,
2026-03-14T23:03:31,SOLUSDT,train,1,RSI Mean Reversion,0.0,https://www.quantconnect.com/project/28937164/9648e40fa039cb34d1f17df2e0a7123a,0.0,0.0,130.0,0.0,0.0,10000.0,10000.0,0.0,,,,,10,2.0,2.0,20,6,0.15,10,30,65,100,,
2026-03-14T23:04:35,SOLUSDT,train,1,RSI Mean Reversion,-20.8,https://www.quantconnect.com/project/28937164/4b7f9e0db93a7494573b7977efc15810,0.0,0.0,666.0,0.0,0.0,10000.0,10000.0,0.0,,,,,10,2.5,1.5,20,4,0.15,20,40,60,200,,
2026-03-14T23:05:26,SOLUSDT,train,1,RSI Mean Reversion,-1000000000,,,,,,,,,,,,,,10,1.0,1.5,20,10,0.5,10,30,60,150,,
2026-03-14T23:04:56,SOLUSDT,train,1,RSI Mean Reversion,0.0,https://www.quantconnect.com/project/28937164/bc66e4d1d2636913f2884363504a11a5,0.0,0.0,11.0,0.0,0.0,10000.0,10000.0,0.0,,,,,14,1.0,3.0,72,8,0.5,20,35,65,150,,
2026-03-14T23:05:18,SOLUSDT,train,1,RSI Mean Reversion,0.0,https://www.quantconnect.com/project/28937164/4eeb25fe153d97554cc58bb067a56c58,0.0,0.0,13.0,0.0,0.0,10000.0,10000.0,0.0,,,,,20,2.0,3.0,96,1,0.5,20,35,70,150,,
2026-03-14T23:07:05,SOLUSDT,train,1,RSI Mean Reversion,-1000000000,,,,,,,,,,,,,,14,2.0,2.0,30,2,0.15,20,35,70,200,,
2026-03-14T23:07:14,SOLUSDT,train,1,RSI Mean Reversion,-1000000000,,,,,,,,,,,,,,10,2.0,2.5,96,6,0.5,10,35,65,200,,
2026-03-14T23:08:50,SOLUSDT,train,1,RSI Mean Reversion,-1000000000,,,,,,,,,,,,,,20,3.0,3.0,48,6,0.15,20,35,75,200,,
2026-03-14T23:07:39,SOLUSDT,train,1,RSI Mean Reversion,0.0,https://www.quantconnect.com/project/28937164/355f6c1a0aec5067672dffbc5a9ed4fc,0.0,0.0,5.0,0.0,0.0,10000.0,10000.0,0.0,,,,,20,2.0,2.5,48,1,0.15,20,30,70,200,,
2026-03-14T23:03:31,SOLUSDT,train,1,RSI Mean Reversion,0.0,https://www.quantconnect.com/project/28937164/9648e40fa039cb34d1f17df2e0a7123a,0.0,0.0,130.0,0.0,0.0,10000.0,10000.0,0.0,,,,,10,2.0,2.0,20,6,0.15,10,30,65,100,,
2026-03-14T23:04:56,SOLUSDT,train,1,RSI Mean Reversion,0.0,https://www.quantconnect.com/project/28937164/bc66e4d1d2636913f2884363504a11a5,0.0,0.0,11.0,0.0,0.0,10000.0,10000.0,0.0,,,,,14,1.0,3.0,72,8,0.5,20,35,65,150,,
2026-03-14T23:05:18,SOLUSDT,train,1,RSI Mean Reversion,0.0,https://www.quantconnect.com/project/28937164/4eeb25fe153d97554cc58bb067a56c58,0.0,0.0,13.0,0.0,0.0,10000.0,10000.0,0.0,,,,,20,2.0,3.0,96,1,0.5,20,35,70,150,,
