timestamp,pair,mode,family,family_name,score,url,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_rsi_period,param_rsi_oversold,param_rsi_overbought,param_trend_ema_period,train_score,validation_score
2026-03-14T03:41:44,SPY,train,1,RSI Mean Reversion,-4.356,https://www.quantconnect.com/project/28936477/ade1e056b3018a726fb1918e32ffd935,-1.851,6.0,380.0,-0.835,37.0,10000.0,9814.92,92.0,57.0,15.0,5.0,15.0,14,1.5,2.5,20,8,0.25,10,30,75,100,,
2026-03-14T03:42:15,SPY,train,1,RSI Mean Reversion,7.588,https://www.quantconnect.com/project/28936477/16a4c4be0f89d0cc1ec6db831bb7e486,6.841,3.8,322.0,0.249,48.0,10000.0,10684.1,40.0,20.0,6.0,5.0,9.0,10,1.5,3.0,30,2,0.5,10,25,80,200,,
2026-03-14T03:42:36,SPY,train,1,RSI Mean Reversion,-3.9959999999999996,https://www.quantconnect.com/project/28936477/d5398818c7e69d9da241b06446c16432,0.936,0.3,14.0,-1.644,67.0,10000.0,10093.56,3.0,1.0,2.0,,,14,1.5,2.5,96,8,0.25,20,30,75,150,,
2026-03-14T03:43:01,SPY,train,1,RSI Mean Reversion,-11.58,https://www.quantconnect.com/project/28936477/e317d93588441d28a5693c85925ddc1e,-7.848,8.5,787.0,-1.244,48.0,10000.0,9215.2,215.0,90.0,84.0,39.0,2.0,20,3.0,1.0,72,10,0.35,10,35,75,100,,
2026-03-14T03:43:32,SPY,train,1,RSI Mean Reversion,-1.721,https://www.quantconnect.com/project/28936477/69abe1ee3fab15dae748403e0a62c0c0,-0.431,5.8,358.0,-0.43,47.0,10000.0,9956.9,83.0,35.0,,34.0,14.0,14,3.0,2.5,48,8,0.5,14,35,65,100,,
2026-03-14T03:44:01,SPY,train,1,RSI Mean Reversion,-7.007000000000001,https://www.quantconnect.com/project/28936477/0a40658ef8fe527b6d4a37f7e6151172,-2.612,3.4,300.0,-1.465,44.0,10000.0,9738.84,93.0,44.0,29.0,9.0,12.0,14,2.0,1.5,20,2,0.15,14,20,65,150,,
2026-03-14T03:44:33,SPY,train,1,RSI Mean Reversion,-7.938000000000001,https://www.quantconnect.com/project/28936477/535b3ca22cfbc9e7af02e2645995e112,-3.102,3.9,523.0,-1.612,45.0,10000.0,9689.82,164.0,85.0,49.0,26.0,4.0,20,2.5,1.5,48,8,0.15,10,30,70,100,,
2026-03-14T03:44:58,SPY,train,1,RSI Mean Reversion,-5.678000000000001,https://www.quantconnect.com/project/28936477/19c5a1aedb45e8cecb69f68a8accd844,-1.355,2.2,235.0,-1.441,36.0,10000.0,9864.49,73.0,47.0,22.0,2.0,2.0,14,1.5,2.0,30,10,0.15,14,35,75,100,,
2026-03-14T03:45:23,SPY,train,1,RSI Mean Reversion,1.969,https://www.quantconnect.com/project/28936477/6ce290362bcf46c25568af0eabfd5e7b,2.515,2.8,460.0,-0.182,54.0,10000.0,10251.47,122.0,36.0,17.0,23.0,46.0,20,3.0,1.5,20,6,0.35,14,30,70,200,,
2026-03-14T03:45:43,SPY,train,1,RSI Mean Reversion,-3.259,https://www.quantconnect.com/project/28936477/5bbf8a145088fb2290ecbe32451e9e68,-0.379,2.0,89.0,-0.96,40.0,10000.0,9962.11,20.0,8.0,1.0,11.0,,20,3.0,2.0,96,4,0.5,14,25,80,200,,
2026-03-14T03:46:14,SPY,train,1,RSI Mean Reversion,-9.322,https://www.quantconnect.com/project/28936477/535631871dde5e910d6a8063e246938e,-2.302,2.4,201.0,-2.34,32.0,10000.0,9769.8,60.0,30.0,9.0,13.0,8.0,10,2.5,2.0,30,8,0.15,10,20,75,150,,
2026-03-14T03:46:40,SPY,train,1,RSI Mean Reversion,-11.531,https://www.quantconnect.com/project/28936477/4562b5af25c88aa7986d57c84465e382,-5.086,5.5,822.0,-1.865,49.0,10000.0,9491.4,267.0,126.0,130.0,10.0,1.0,20,2.0,1.0,48,8,0.15,14,35,70,200,,
2026-03-14T03:47:09,SPY,train,1,RSI Mean Reversion,-1000000000,https://www.quantconnect.com/project/28936477/fc6a811dc55c92e96cbdff5894823d7a,0.0,0.0,4.0,0.0,0.0,10000.0,10000.0,0.0,,,,,14,1.5,2.0,20,4,0.5,20,25,80,200,,
2026-03-14T03:47:33,SPY,train,1,RSI Mean Reversion,-1000000000,https://www.quantconnect.com/project/28936477/b31133708dbebe50e2f05c965cb5dea1,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,,,,,20,1.0,1.5,30,10,0.5,20,20,75,200,,
2026-03-14T03:48:00,SPY,train,1,RSI Mean Reversion,-5.186,https://www.quantconnect.com/project/28936477/adbbeb9e0e7bfaecbc320e85add8db9e,-1.082,2.4,271.0,-1.368,41.0,10000.0,9891.77,83.0,47.0,19.0,9.0,8.0,10,2.0,2.0,48,2,0.15,10,25,80,150,,
2026-03-14T03:42:15,SPY,train,1,RSI Mean Reversion,7.588,https://www.quantconnect.com/project/28936477/16a4c4be0f89d0cc1ec6db831bb7e486,6.841,3.8,322.0,0.249,48.0,10000.0,10684.1,40.0,20.0,6.0,5.0,9.0,10,1.5,3.0,30,2,0.5,10,25,80,200,,
2026-03-14T03:45:23,SPY,train,1,RSI Mean Reversion,1.969,https://www.quantconnect.com/project/28936477/6ce290362bcf46c25568af0eabfd5e7b,2.515,2.8,460.0,-0.182,54.0,10000.0,10251.47,122.0,36.0,17.0,23.0,46.0,20,3.0,1.5,20,6,0.35,14,30,70,200,,
2026-03-14T03:43:32,SPY,train,1,RSI Mean Reversion,-1.721,https://www.quantconnect.com/project/28936477/69abe1ee3fab15dae748403e0a62c0c0,-0.431,5.8,358.0,-0.43,47.0,10000.0,9956.9,83.0,35.0,,34.0,14.0,14,3.0,2.5,48,8,0.5,14,35,65,100,,
2026-03-14T03:45:43,SPY,train,1,RSI Mean Reversion,-3.259,https://www.quantconnect.com/project/28936477/5bbf8a145088fb2290ecbe32451e9e68,-0.379,2.0,89.0,-0.96,40.0,10000.0,9962.11,20.0,8.0,1.0,11.0,,20,3.0,2.0,96,4,0.5,14,25,80,200,,
2026-03-14T03:42:36,SPY,train,1,RSI Mean Reversion,-3.9959999999999996,https://www.quantconnect.com/project/28936477/d5398818c7e69d9da241b06446c16432,0.936,0.3,14.0,-1.644,67.0,10000.0,10093.56,3.0,1.0,2.0,,,14,1.5,2.5,96,8,0.25,20,30,75,150,,
2026-03-14T03:48:35,SPY,train,1,RSI Mean Reversion,-3.267,https://www.quantconnect.com/project/28936477/3d6456125dabba18b3c25b139c44a649,-0.291,2.0,90.0,-0.992,45.0,10000.0,9970.89,20.0,7.0,1.0,6.0,6.0,20,3.0,2.5,48,4,0.5,14,25,80,200,,
2026-03-14T03:49:05,SPY,train,1,RSI Mean Reversion,-2.4509999999999996,https://www.quantconnect.com/project/28936477/ef670c4bccc9473f21724f954e90f504,-1.002,5.0,822.0,-0.483,36.0,10000.0,9899.81,185.0,112.0,25.0,16.0,32.0,14,1.5,3.0,30,8,0.25,10,30,80,200,,
2026-03-14T03:49:30,SPY,train,1,RSI Mean Reversion,5.433,https://www.quantconnect.com/project/28936477/838995347ebc7c5dd32a251a2fd25c8e,4.968,1.7,180.0,0.155,52.0,10000.0,10496.81,46.0,22.0,13.0,5.0,6.0,14,1.5,2.5,20,6,0.25,14,30,75,150,,
2026-03-14T03:49:53,SPY,train,1,RSI Mean Reversion,-6.319,https://www.quantconnect.com/project/28936477/ab1404000ee633d5bc290d5df71f00af,-1.447,2.4,99.0,-1.624,35.0,10000.0,9855.35,26.0,17.0,6.0,3.0,,20,1.5,2.0,96,8,0.25,14,25,75,200,,
2026-03-14T03:50:16,SPY,train,1,RSI Mean Reversion,2.133,https://www.quantconnect.com/project/28936477/3b6efbd48c10165c72e96e4b398a8f07,2.676,3.2,159.0,-0.181,42.0,10000.0,10267.56,33.0,19.0,10.0,4.0,,20,1.5,2.5,96,8,0.35,14,30,75,150,,
2026-03-14T03:50:39,SPY,train,1,RSI Mean Reversion,2.741,https://www.quantconnect.com/project/28936477/e7018818c166e39a9717f94b8fce9108,3.236,1.3,166.0,-0.165,56.0,10000.0,10323.64,45.0,20.0,24.0,1.0,,20,1.5,1.5,96,6,0.25,14,30,75,150,,
2026-03-14T03:51:06,SPY,train,1,RSI Mean Reversion,3.155,https://www.quantconnect.com/project/28936477/1f7998d1e951a6235ef44e36e735d9e3,3.389,1.0,291.0,-0.078,46.0,10000.0,10338.94,13.0,7.0,4.0,2.0,,10,1.0,3.0,96,2,0.5,10,25,80,200,,
2026-03-14T03:51:30,SPY,train,1,RSI Mean Reversion,-1.9209999999999998,https://www.quantconnect.com/project/28936477/c56689b8d5ed84d57a71a85309deb22c,0.146,1.8,120.0,-0.689,44.0,10000.0,10014.64,32.0,10.0,,18.0,4.0,20,3.0,2.0,48,4,0.5,14,25,65,100,,
2026-03-14T03:52:01,SPY,train,1,RSI Mean Reversion,2.1609999999999996,https://www.quantconnect.com/project/28936477/0e9bccd623e83a29ab24ced878f4a246,2.554,5.0,348.0,-0.131,33.0,10000.0,10255.41,67.0,41.0,14.0,12.0,,14,1.5,3.0,96,2,0.35,10,25,80,200,,
2026-03-14T03:52:22,SPY,train,1,RSI Mean Reversion,-1.235,https://www.quantconnect.com/project/28936477/ff6601d991addf989056f2d31ad9efe5,-0.11,6.7,336.0,-0.375,39.0,10000.0,9989.02,79.0,35.0,15.0,29.0,,20,2.5,2.0,96,2,0.5,10,25,75,150,,
2026-03-14T03:42:15,SPY,train,1,RSI Mean Reversion,7.588,https://www.quantconnect.com/project/28936477/16a4c4be0f89d0cc1ec6db831bb7e486,6.841,3.8,322.0,0.249,48.0,10000.0,10684.1,40.0,20.0,6.0,5.0,9.0,10,1.5,3.0,30,2,0.5,10,25,80,200,,
2026-03-14T03:49:30,SPY,train,1,RSI Mean Reversion,5.433,https://www.quantconnect.com/project/28936477/838995347ebc7c5dd32a251a2fd25c8e,4.968,1.7,180.0,0.155,52.0,10000.0,10496.81,46.0,22.0,13.0,5.0,6.0,14,1.5,2.5,20,6,0.25,14,30,75,150,,
2026-03-14T03:51:06,SPY,train,1,RSI Mean Reversion,3.155,https://www.quantconnect.com/project/28936477/1f7998d1e951a6235ef44e36e735d9e3,3.389,1.0,291.0,-0.078,46.0,10000.0,10338.94,13.0,7.0,4.0,2.0,,10,1.0,3.0,96,2,0.5,10,25,80,200,,
2026-03-14T03:50:39,SPY,train,1,RSI Mean Reversion,2.741,https://www.quantconnect.com/project/28936477/e7018818c166e39a9717f94b8fce9108,3.236,1.3,166.0,-0.165,56.0,10000.0,10323.64,45.0,20.0,24.0,1.0,,20,1.5,1.5,96,6,0.25,14,30,75,150,,
2026-03-14T03:52:01,SPY,train,1,RSI Mean Reversion,2.1609999999999996,https://www.quantconnect.com/project/28936477/0e9bccd623e83a29ab24ced878f4a246,2.554,5.0,348.0,-0.131,33.0,10000.0,10255.41,67.0,41.0,14.0,12.0,,14,1.5,3.0,96,2,0.35,10,25,80,200,,
2026-03-14T03:52:50,SPY,train,1,RSI Mean Reversion,7.78,https://www.quantconnect.com/project/28936477/c20627daa6e1789238a81bb8cd9eb6e9,6.721,1.7,323.0,0.353,52.0,10000.0,10672.09,77.0,36.0,11.0,10.0,20.0,14,1.5,3.0,20,2,0.25,14,30,80,200,,
2026-03-14T03:53:26,SPY,train,1,RSI Mean Reversion,2.48,https://www.quantconnect.com/project/28936477/9697cf7757a3e86a83136b4a08c2efc5,2.927,1.0,292.0,-0.149,46.0,10000.0,10292.68,13.0,7.0,3.0,2.0,1.0,10,1.0,3.0,30,2,0.5,10,25,80,200,,
2026-03-14T03:53:50,SPY,train,1,RSI Mean Reversion,8.305,https://www.quantconnect.com/project/28936477/194d106d8e866040a267135473c81878,7.225,1.5,256.0,0.36,53.0,10000.0,10722.52,15.0,7.0,7.0,1.0,,10,1.0,3.0,96,2,0.5,10,25,75,150,,
2026-03-14T03:54:27,SPY,train,1,RSI Mean Reversion,4.494000000000001,https://www.quantconnect.com/project/28936477/418409e09465bec02acc4039ed053f13,4.371,4.5,320.0,0.041,40.0,10000.0,10437.12,40.0,22.0,6.0,12.0,,10,1.5,3.0,96,2,0.5,10,25,80,200,,
2026-03-14T03:54:49,SPY,train,1,RSI Mean Reversion,11.775,https://www.quantconnect.com/project/28936477/0e8cf77249f99a50d858990c4ab830e1,10.443,4.9,449.0,0.444,44.0,10000.0,11044.35,57.0,30.0,12.0,15.0,,14,1.5,3.0,96,2,0.5,10,25,75,200,,
