timestamp,pair,mode,family,family_name,score,url,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_rsi_period,param_rsi_oversold,param_rsi_overbought,param_trend_ema_period,train_score,validation_score
2026-03-15T16:30:34,TSLA,train,1,RSI Mean Reversion,-3.5780000000000003,https://www.quantconnect.com/project/28936477/4cbe1482330d2e7b86701a0401c2ce6d,-1.352,4.4,124.0,-0.742,28.0,10000.0,9864.77,40.0,28.0,8.0,,4.0,20,1.5,3.0,30,10,0.35,10,35,65,100,,
2026-03-15T16:30:38,TSLA,train,1,RSI Mean Reversion,-1.4450000000000003,https://www.quantconnect.com/project/28936477/97c46f65a9290f94a09fc257c6577528,1.306,0.7,21.0,-0.917,57.0,10000.0,10130.59,7.0,3.0,4.0,,,10,1.0,2.0,96,6,0.35,10,25,75,100,,
2026-03-15T16:31:37,TSLA,train,1,RSI Mean Reversion,-2.516,https://www.quantconnect.com/project/28936477/ec1ac562c04eb545be2a4309a3b2517c,-1.151,9.2,210.0,-0.455,35.0,10000.0,9884.92,62.0,34.0,4.0,,24.0,10,2.0,3.0,20,1,0.5,14,40,70,200,,
2026-03-15T16:32:24,TSLA,train,1,RSI Mean Reversion,-1000000000,,,,,,,,,,,,,,10,1.5,2.0,20,1,0.35,20,25,60,100,,
2026-03-15T16:31:57,TSLA,train,1,RSI Mean Reversion,-4.859,https://www.quantconnect.com/project/28936477/1ff09240456dd0b9a8ee727a72428bfe,0.25,0.9,18.0,-1.703,50.0,10000.0,10024.99,6.0,3.0,3.0,,,10,1.0,1.0,30,1,0.35,20,40,75,100,,
2026-03-15T16:32:18,TSLA,train,1,RSI Mean Reversion,-1000000000,https://www.quantconnect.com/project/28936477/58f04d83eda983b0fc662dcc108a6344,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,,,,,14,1.0,3.0,96,10,0.35,20,25,70,100,,
2026-03-15T16:32:45,TSLA,train,1,RSI Mean Reversion,1.7079999999999997,https://www.quantconnect.com/project/28936477/166664bc47c5d341c3265a923e771777,2.155,2.9,100.0,-0.149,33.0,10000.0,10215.48,33.0,22.0,10.0,,1.0,20,1.5,3.0,96,2,0.5,20,35,60,200,,
2026-03-15T16:33:24,TSLA,train,1,RSI Mean Reversion,-7.193999999999999,https://www.quantconnect.com/project/28936477/d105871bc6a6aa5640fbfae3e26137f7,-2.658,3.3,59.0,-1.512,35.0,10000.0,9734.25,17.0,8.0,1.0,,8.0,14,2.5,1.5,20,2,0.5,20,35,60,150,,
2026-03-15T16:33:04,TSLA,train,1,RSI Mean Reversion,-12.463,https://www.quantconnect.com/project/28936477/bbaec29df1e588fdf96c6787ca3e0454,0.062,0.4,21.0,-4.175,57.0,10000.0,10006.22,7.0,3.0,4.0,,,10,1.0,1.0,20,8,0.15,10,25,75,100,,
2026-03-15T16:34:50,TSLA,train,1,RSI Mean Reversion,-1000000000,,,,,,,,,,,,,,10,3.0,1.0,20,4,0.35,10,35,75,150,,
2026-03-15T16:33:46,TSLA,train,1,RSI Mean Reversion,-4.104,https://www.quantconnect.com/project/28936477/ca924c36153fad6c3fa785f14f1bb5a1,-1.086,3.3,84.0,-1.006,50.0,10000.0,9891.43,28.0,14.0,14.0,,,10,2.0,1.0,30,1,0.5,14,35,70,150,,
2026-03-15T16:34:07,TSLA,train,1,RSI Mean Reversion,-1.329,https://www.quantconnect.com/project/28936477/b65b471a7ac1b57887eadbf0d6dd7d9a,0.231,2.5,98.0,-0.52,37.0,10000.0,10023.14,30.0,17.0,5.0,,8.0,20,3.0,3.0,72,6,0.5,14,30,60,200,,
2026-03-15T16:34:27,TSLA,train,1,RSI Mean Reversion,-10.138000000000002,https://www.quantconnect.com/project/28936477/2215da2a3595932dae5e1a0f8ef65f02,-3.793,4.0,43.0,-2.115,23.0,10000.0,9620.67,13.0,9.0,,,4.0,10,2.5,3.0,30,1,0.5,20,30,60,150,,
2026-03-15T16:34:49,TSLA,train,1,RSI Mean Reversion,-7.246,https://www.quantconnect.com/project/28936477/1161d9a9a205318984867dd07b9c3023,-0.157,0.7,34.0,-2.363,45.0,10000.0,9984.29,11.0,6.0,4.0,,1.0,14,2.5,1.5,96,8,0.25,20,35,70,200,,
2026-03-15T16:35:14,TSLA,train,1,RSI Mean Reversion,-0.21599999999999997,https://www.quantconnect.com/project/28936477/29b010b0392ed0d0f471ceb005478585,1.032,1.6,135.0,-0.416,53.0,10000.0,10103.17,45.0,21.0,24.0,,,20,1.0,1.0,72,6,0.5,10,25,65,150,,
2026-03-15T16:32:45,TSLA,train,1,RSI Mean Reversion,1.7079999999999997,https://www.quantconnect.com/project/28936477/166664bc47c5d341c3265a923e771777,2.155,2.9,100.0,-0.149,33.0,10000.0,10215.48,33.0,22.0,10.0,,1.0,20,1.5,3.0,96,2,0.5,20,35,60,200,,
2026-03-15T16:35:14,TSLA,train,1,RSI Mean Reversion,-0.21599999999999997,https://www.quantconnect.com/project/28936477/29b010b0392ed0d0f471ceb005478585,1.032,1.6,135.0,-0.416,53.0,10000.0,10103.17,45.0,21.0,24.0,,,20,1.0,1.0,72,6,0.5,10,25,65,150,,
2026-03-15T16:34:07,TSLA,train,1,RSI Mean Reversion,-1.329,https://www.quantconnect.com/project/28936477/b65b471a7ac1b57887eadbf0d6dd7d9a,0.231,2.5,98.0,-0.52,37.0,10000.0,10023.14,30.0,17.0,5.0,,8.0,20,3.0,3.0,72,6,0.5,14,30,60,200,,
2026-03-15T16:30:38,TSLA,train,1,RSI Mean Reversion,-1.4450000000000003,https://www.quantconnect.com/project/28936477/97c46f65a9290f94a09fc257c6577528,1.306,0.7,21.0,-0.917,57.0,10000.0,10130.59,7.0,3.0,4.0,,,10,1.0,2.0,96,6,0.35,10,25,75,100,,
2026-03-15T16:31:37,TSLA,train,1,RSI Mean Reversion,-2.516,https://www.quantconnect.com/project/28936477/ec1ac562c04eb545be2a4309a3b2517c,-1.151,9.2,210.0,-0.455,35.0,10000.0,9884.92,62.0,34.0,4.0,,24.0,10,2.0,3.0,20,1,0.5,14,40,70,200,,
