timestamp,pair,mode,family,family_name,score,url,return_pct,drawdown_pct,total_orders,sharpe,win_rate_pct,start_equity,end_equity,entries,exit_stop_loss,exit_take_profit,exit_end_of_session,exit_max_hold,param_atr_period,param_stop_atr_mult,param_reward_ratio,param_max_hold_bars,param_cooldown_bars,param_risk_per_trade_pct,param_wr_period,param_wr_oversold,param_wr_overbought,param_wr_rsi_long,param_wr_rsi_short,param_rsi_period,train_score,validation_score
2026-03-14T15:20:37,TSLA,train,5,Williams %R + RSI,-130.135,https://www.quantconnect.com/project/28936477/5c293e071e8dc00af57c,-71.358,0.0,3990.0,-3.109,28.0,10000.0,2864.25,1239.0,794.0,,,,20,1.5,2.5,30,2,0.35,20,-90,-20,35,70,20,,
2026-03-14T15:21:02,TSLA,train,5,Williams %R + RSI,-149.67000000000002,https://www.quantconnect.com/project/28936477/c9ed2d4b944641a7ab54,-62.624,0.0,6763.0,-2.232,44.0,10000.0,3737.58,1857.0,576.0,,,,10,2.5,2.0,20,4,0.5,14,-90,-20,30,65,10,,
2026-03-14T15:21:31,TSLA,train,5,Williams %R + RSI,-1000000000,https://www.quantconnect.com/project/28936477/8724e365395d245c337e,-13.876,96.0,2010.0,-0.929,50.0,10000.0,8612.36,669.0,335.0,,,,10,1.0,1.0,72,4,0.35,10,-85,-20,30,75,20,,
2026-03-14T15:21:58,TSLA,train,5,Williams %R + RSI,-120.898,https://www.quantconnect.com/project/28936477/0cb95f6373bff0ff98cc,-68.573,0.0,3861.0,-2.825,37.0,10000.0,3142.71,1127.0,539.0,,,,14,2.5,2.0,48,2,0.5,10,-85,-10,35,75,14,,
2026-03-14T15:22:35,TSLA,train,5,Williams %R + RSI,-89.06,https://www.quantconnect.com/project/28936477/05865e3d04371232d4e8,-41.146,0.0,3323.0,-2.938,37.0,10000.0,5885.38,1032.0,535.0,,,,20,2.0,1.5,48,8,0.25,10,-85,-20,25,65,14,,
2026-03-14T15:23:05,TSLA,train,5,Williams %R + RSI,-80.848,https://www.quantconnect.com/project/28936477/4dccce8f2c3702e8cd5a,-48.567,0.0,2556.0,-1.777,33.0,10000.0,5143.33,789.0,449.0,,,,20,2.0,2.0,72,4,0.5,10,-80,-10,25,70,14,,
2026-03-14T15:23:41,TSLA,train,5,Williams %R + RSI,-116.667,https://www.quantconnect.com/project/28936477/d891f9a32ad94a61f553,-60.564,0.0,4306.0,-2.001,37.0,10000.0,3943.57,1252.0,611.0,,,,14,2.0,2.5,30,6,0.5,5,-75,-25,25,70,10,,
2026-03-14T15:24:09,TSLA,train,5,Williams %R + RSI,-169.952,https://www.quantconnect.com/project/28936477/7b0d05ec892b31ac735b,-62.272,1.0,6625.0,-3.61,47.0,10000.0,3772.8,2187.0,1123.0,,,,20,1.5,1.0,96,2,0.25,14,-80,-25,35,70,14,,
2026-03-14T15:24:39,TSLA,train,5,Williams %R + RSI,-91.95700000000001,https://www.quantconnect.com/project/28936477/763a2c30d826b1987197,-53.622,0.0,3067.0,-2.145,37.0,10000.0,4637.84,888.0,424.0,,,,20,2.5,2.5,72,10,0.5,14,-85,-25,30,75,10,,
2026-03-14T15:25:04,TSLA,train,5,Williams %R + RSI,-45.2,https://www.quantconnect.com/project/28936477/761204e2543be176470e,-19.78,0.0,1901.0,-3.79,35.0,10000.0,8022.0,531.0,208.0,,,,10,2.5,2.5,20,2,0.15,5,-80,-20,30,75,20,,
2026-03-14T15:25:27,TSLA,train,5,Williams %R + RSI,-134.06600000000003,https://www.quantconnect.com/project/28936477/6c08c70ada01d46dcf0d,-62.453,0.0,5056.0,-2.171,30.0,10000.0,3754.7,1552.0,967.0,,,,14,1.5,3.0,72,2,0.35,5,-75,-10,25,65,10,,
2026-03-14T15:25:53,TSLA,train,5,Williams %R + RSI,-60.724,https://www.quantconnect.com/project/28936477/bfa6bb5b371db22d1e1a,-35.096,1.0,1991.0,-2.376,26.0,10000.0,6490.38,620.0,418.0,,,,10,1.5,3.0,96,1,0.25,10,-90,-10,25,70,20,,
2026-03-14T15:26:17,TSLA,train,5,Williams %R + RSI,-90.994,https://www.quantconnect.com/project/28936477/7560e2114a9ae8927a02,-48.903,0.0,3220.0,-3.297,38.0,10000.0,5109.72,894.0,336.0,,,,14,3.0,2.5,30,1,0.35,10,-80,-10,30,75,14,,
2026-03-14T15:26:48,TSLA,train,5,Williams %R + RSI,-82.549,https://www.quantconnect.com/project/28936477/d6308feee8bf22c11dbe,-41.151,0.0,2978.0,-3.116,34.0,10000.0,5884.91,891.0,472.0,,,,14,2.5,2.0,72,1,0.25,14,-75,-10,35,75,20,,
2026-03-14T15:27:19,TSLA,train,5,Williams %R + RSI,-1000000000,https://www.quantconnect.com/project/28936477/1241c,-33.875,0.0,,,31.0,,6612.47,815.0,,,,,20,1.0,2.0,20,4,0.25,5,-80,-15,30,70,20,,
2026-03-14T15:25:04,TSLA,train,5,Williams %R + RSI,-45.2,https://www.quantconnect.com/project/28936477/761204e2543be176470e,-19.78,0.0,1901.0,-3.79,35.0,10000.0,8022.0,531.0,208.0,,,,10,2.5,2.5,20,2,0.15,5,-80,-20,30,75,20,,
2026-03-14T15:25:53,TSLA,train,5,Williams %R + RSI,-60.724,https://www.quantconnect.com/project/28936477/bfa6bb5b371db22d1e1a,-35.096,1.0,1991.0,-2.376,26.0,10000.0,6490.38,620.0,418.0,,,,10,1.5,3.0,96,1,0.25,10,-90,-10,25,70,20,,
2026-03-14T15:23:05,TSLA,train,5,Williams %R + RSI,-80.848,https://www.quantconnect.com/project/28936477/4dccce8f2c3702e8cd5a,-48.567,0.0,2556.0,-1.777,33.0,10000.0,5143.33,789.0,449.0,,,,20,2.0,2.0,72,4,0.5,10,-80,-10,25,70,14,,
2026-03-14T15:26:48,TSLA,train,5,Williams %R + RSI,-82.549,https://www.quantconnect.com/project/28936477/d6308feee8bf22c11dbe,-41.151,0.0,2978.0,-3.116,34.0,10000.0,5884.91,891.0,472.0,,,,14,2.5,2.0,72,1,0.25,14,-75,-10,35,75,20,,
